timestamp,FM,NOX,O2,temp
2022-03-02 04:20:00+00:00,1927.43,42.45,6.15,96
2022-03-02 04:25:00+00:00,2038.92,43.33,6.01,97.02
2022-03-02 04:30:00+00:00,1845.05,43.42,6.15,96.95
2022-03-02 04:35:00+00:00,1813.65,42.59,6.37,96.4
2022-03-02 04:40:00+00:00,1898.66,43.04,6.14,96.92
2022-03-02 04:45:00+00:00,1751.01,42.69,6.33,96.4
2022-03-02 04:50:00+00:00,1822.34,41.92,6.25,96
2022-03-02 04:55:00+00:00,1890.08,42.61,6.08,96.26
2022-03-02 05:00:00+00:00,1832.31,42.06,6.08,95.86
2022-03-02 05:05:00+00:00,1887.46,41.8,6.03,95.5
2022-03-02 05:10:00+00:00,1912.3,41.21,5.96,95.39
2022-03-02 05:15:00+00:00,1893.96,40.82,5.92,95.12
2022-03-02 05:20:00+00:00,1828.66,41.02,6.11,94.6
2022-03-02 05:25:00+00:00,1837.55,40.95,6.17,94.4
2022-03-02 05:30:00+00:00,1836.37,40.65,6.1,94.33
2022-03-02 05:35:00+00:00,1844.01,40.56,6.07,94.2
2022-03-02 05:40:00+00:00,1746.7,40.99,6.19,93.84
2022-03-02 05:45:00+00:00,1764.48,40.58,6.3,93.46
2022-03-02 05:50:00+00:00,1799.95,40.85,6.18,93.78
2022-03-02 05:55:00+00:00,1760.14,40.39,6.18,93.56
2022-03-02 06:00:00+00:00,1763.5,40.17,6.17,93.4
2022-03-02 06:05:00+00:00,1737.83,39.92,6.18,93.34
2022-03-02 06:10:00+00:00,1757.05,40.01,6.26,93.42
2022-03-02 06:15:00+00:00,1770.61,39.69,6.16,93.6
2022-03-02 06:20:00+00:00,1781.28,39.89,6.17,93.6
2022-03-02 06:25:00+00:00,1772.74,39.99,6.18,93.6
2022-03-02 06:30:00+00:00,1726.16,39.64,6.23,93.47
2022-03-02 06:35:00+00:00,1727.61,39.69,6.27,93.52
2022-03-02 06:40:00+00:00,1727.11,39.69,6.32,93.4
2022-03-02 06:45:00+00:00,1729.03,39.57,6.27,93.55
2022-03-02 06:50:00+00:00,1729.39,39.79,6.28,93.65
2022-03-02 06:55:00+00:00,1698.47,39.62,6.27,93.75
2022-03-02 07:00:00+00:00,1693.28,39.99,6.43,93.6
2022-03-02 07:05:00+00:00,1747.83,39.35,6.29,93.73
2022-03-02 07:10:00+00:00,1739.28,39.47,6.26,93.86
2022-03-02 07:15:00+00:00,1762.66,39.3,6.2,94
2022-03-02 07:20:00+00:00,1784.19,39.36,6.22,94.07
2022-03-02 07:25:00+00:00,1909.29,41.74,6.26,94.84
2022-03-02 07:30:00+00:00,1770.34,41.55,6.19,94.69
2022-03-02 07:35:00+00:00,1724.03,41.48,6.63,93.73
2022-03-02 07:40:00+00:00,1858.84,41.78,6.29,94.37
2022-03-02 07:45:00+00:00,1706.43,41.39,6.4,93.97
2022-03-02 07:50:00+00:00,1749.84,40.21,6.38,93.58
2022-03-02 07:55:00+00:00,1805.52,40.42,6.18,93.79
2022-03-02 08:00:00+00:00,1725.47,40.41,6.33,93.53
2022-03-02 08:05:00+00:00,1778.74,40.17,6.31,93.6
2022-03-02 08:10:00+00:00,1793.88,40.34,6.14,94
2022-03-02 08:15:00+00:00,1709.7,40.44,6.36,93.61
2022-03-02 08:20:00+00:00,1741.33,39.89,6.33,93.38
2022-03-02 08:25:00+00:00,1759.63,39.93,6.17,93.62
2022-03-02 08:30:00+00:00,1736.03,39.52,6.18,93.51
2022-03-02 08:35:00+00:00,1714.25,39.01,6.18,93.39
2022-03-02 08:40:00+00:00,1715.11,39.28,6.25,93.34
2022-03-02 08:45:00+00:00,1727.1,39.06,6.19,93.27
2022-03-02 08:50:00+00:00,1717.93,39.26,6.2,93.38
2022-03-02 08:55:00+00:00,1750.01,38.95,6.14,93.4
2022-03-02 09:00:00+00:00,1717.01,38.86,6.16,93.4
2022-03-02 09:05:00+00:00,1757.24,39.06,6.19,93.52
2022-03-02 09:10:00+00:00,1765.23,39.22,6.14,93.49
2022-03-02 09:15:00+00:00,1762.08,39.22,6.24,93.42
2022-03-02 09:20:00+00:00,1780.19,39.03,6.14,93.6
2022-03-02 09:25:00+00:00,1756.47,39.21,6.2,93.44
2022-03-02 09:30:00+00:00,1754.91,38.8,6.17,93.4
2022-03-02 09:35:00+00:00,1766.6,38.49,6.12,93.4
2022-03-02 09:40:00+00:00,1787.12,38.81,6.15,93.46
2022-03-02 09:45:00+00:00,1827.93,39.47,6.14,93.91
2022-03-02 09:50:00+00:00,1765.41,39.46,6.17,93.75
2022-03-02 09:55:00+00:00,1783.6,39.09,6.23,93.4
2022-03-02 10:00:00+00:00,1834.13,39.45,6.15,93.55
2022-03-02 10:05:00+00:00,1805.34,39.18,6.1,93.48
2022-03-02 10:10:00+00:00,1835.94,39.05,6.1,93.27
